month,site_id,site_name,region,category,rentals
2021-08,S001,North Yard,Metro North,Excavator,3
2021-09,S001,North Yard,Metro North,Excavator,4
2021-10,S001,North Yard,Metro North,Excavator,1
2021-11,S001,North Yard,Metro North,Excavator,5
2021-12,S001,North Yard,Metro North,Excavator,1
2022-01,S001,North Yard,Metro North,Excavator,3
2022-02,S001,North Yard,Metro North,Excavator,1
2022-03,S001,North Yard,Metro North,Excavator,1
2022-04,S001,North Yard,Metro North,Excavator,3
2022-05,S001,North Yard,Metro North,Excavator,2
2022-06,S001,North Yard,Metro North,Excavator,1
2022-07,S001,North Yard,Metro North,Excavator,5
2022-08,S001,North Yard,Metro North,Excavator,0
2022-09,S001,North Yard,Metro North,Excavator,3
2022-10,S001,North Yard,Metro North,Excavator,2
2022-11,S001,North Yard,Metro North,Excavator,1
2022-12,S001,North Yard,Metro North,Excavator,0
2023-01,S001,North Yard,Metro North,Excavator,0
2023-02,S001,North Yard,Metro North,Excavator,3
2023-03,S001,North Yard,Metro North,Excavator,1
2023-04,S001,North Yard,Metro North,Excavator,0
2023-05,S001,North Yard,Metro North,Excavator,1
2023-06,S001,North Yard,Metro North,Excavator,1
2023-07,S001,North Yard,Metro North,Excavator,2
2023-08,S001,North Yard,Metro North,Excavator,0
2023-09,S001,North Yard,Metro North,Excavator,3
2023-10,S001,North Yard,Metro North,Excavator,3
2023-11,S001,North Yard,Metro North,Excavator,2
2023-12,S001,North Yard,Metro North,Excavator,1
2024-01,S001,North Yard,Metro North,Excavator,2
2024-02,S001,North Yard,Metro North,Excavator,2
2024-03,S001,North Yard,Metro North,Excavator,0
2024-04,S001,North Yard,Metro North,Excavator,1
2024-05,S001,North Yard,Metro North,Excavator,3
2024-06,S001,North Yard,Metro North,Excavator,1
2024-07,S001,North Yard,Metro North,Excavator,2
2024-08,S001,North Yard,Metro North,Excavator,4
2024-09,S001,North Yard,Metro North,Excavator,2
2024-10,S001,North Yard,Metro North,Excavator,2
2024-11,S001,North Yard,Metro North,Excavator,1
2024-12,S001,North Yard,Metro North,Excavator,2
2025-01,S001,North Yard,Metro North,Excavator,0
2025-02,S001,North Yard,Metro North,Excavator,1
2025-03,S001,North Yard,Metro North,Excavator,3
2025-04,S001,North Yard,Metro North,Excavator,2
2025-05,S001,North Yard,Metro North,Excavator,7
2025-06,S001,North Yard,Metro North,Excavator,2
2025-07,S001,North Yard,Metro North,Excavator,3
2025-08,S001,North Yard,Metro North,Excavator,4
2025-09,S001,North Yard,Metro North,Excavator,3
2025-10,S001,North Yard,Metro North,Excavator,1
2025-11,S001,North Yard,Metro North,Excavator,1
2025-12,S001,North Yard,Metro North,Excavator,1
2026-01,S001,North Yard,Metro North,Excavator,2
2026-02,S001,North Yard,Metro North,Excavator,1
2026-03,S001,North Yard,Metro North,Excavator,3
2026-04,S001,North Yard,Metro North,Excavator,1
2026-05,S001,North Yard,Metro North,Excavator,5
2026-06,S001,North Yard,Metro North,Excavator,0
2026-07,S001,North Yard,Metro North,Excavator,4
2021-08,S001,North Yard,Metro North,Bulldozer,1
2021-09,S001,North Yard,Metro North,Bulldozer,2
2021-10,S001,North Yard,Metro North,Bulldozer,1
2021-11,S001,North Yard,Metro North,Bulldozer,1
2021-12,S001,North Yard,Metro North,Bulldozer,0
2022-01,S001,North Yard,Metro North,Bulldozer,0
2022-02,S001,North Yard,Metro North,Bulldozer,0
2022-03,S001,North Yard,Metro North,Bulldozer,0
2022-04,S001,North Yard,Metro North,Bulldozer,2
2022-05,S001,North Yard,Metro North,Bulldozer,3
2022-06,S001,North Yard,Metro North,Bulldozer,1
2022-07,S001,North Yard,Metro North,Bulldozer,0
2022-08,S001,North Yard,Metro North,Bulldozer,1
2022-09,S001,North Yard,Metro North,Bulldozer,0
2022-10,S001,North Yard,Metro North,Bulldozer,6
2022-11,S001,North Yard,Metro North,Bulldozer,2
2022-12,S001,North Yard,Metro North,Bulldozer,1
2023-01,S001,North Yard,Metro North,Bulldozer,1
2023-02,S001,North Yard,Metro North,Bulldozer,1
2023-03,S001,North Yard,Metro North,Bulldozer,0
2023-04,S001,North Yard,Metro North,Bulldozer,0
2023-05,S001,North Yard,Metro North,Bulldozer,2
2023-06,S001,North Yard,Metro North,Bulldozer,3
2023-07,S001,North Yard,Metro North,Bulldozer,1
2023-08,S001,North Yard,Metro North,Bulldozer,2
2023-09,S001,North Yard,Metro North,Bulldozer,0
2023-10,S001,North Yard,Metro North,Bulldozer,0
2023-11,S001,North Yard,Metro North,Bulldozer,0
2023-12,S001,North Yard,Metro North,Bulldozer,2
2024-01,S001,North Yard,Metro North,Bulldozer,1
2024-02,S001,North Yard,Metro North,Bulldozer,0
2024-03,S001,North Yard,Metro North,Bulldozer,1
2024-04,S001,North Yard,Metro North,Bulldozer,1
2024-05,S001,North Yard,Metro North,Bulldozer,1
2024-06,S001,North Yard,Metro North,Bulldozer,0
2024-07,S001,North Yard,Metro North,Bulldozer,0
2024-08,S001,North Yard,Metro North,Bulldozer,2
2024-09,S001,North Yard,Metro North,Bulldozer,2
2024-10,S001,North Yard,Metro North,Bulldozer,1
2024-11,S001,North Yard,Metro North,Bulldozer,2
2024-12,S001,North Yard,Metro North,Bulldozer,3
2025-01,S001,North Yard,Metro North,Bulldozer,3
2025-02,S001,North Yard,Metro North,Bulldozer,1
2025-03,S001,North Yard,Metro North,Bulldozer,1
2025-04,S001,North Yard,Metro North,Bulldozer,1
2025-05,S001,North Yard,Metro North,Bulldozer,1
2025-06,S001,North Yard,Metro North,Bulldozer,1
2025-07,S001,North Yard,Metro North,Bulldozer,1
2025-08,S001,North Yard,Metro North,Bulldozer,0
2025-09,S001,North Yard,Metro North,Bulldozer,0
2025-10,S001,North Yard,Metro North,Bulldozer,0
2025-11,S001,North Yard,Metro North,Bulldozer,0
2025-12,S001,North Yard,Metro North,Bulldozer,2
2026-01,S001,North Yard,Metro North,Bulldozer,0
2026-02,S001,North Yard,Metro North,Bulldozer,2
2026-03,S001,North Yard,Metro North,Bulldozer,0
2026-04,S001,North Yard,Metro North,Bulldozer,4
2026-05,S001,North Yard,Metro North,Bulldozer,0
2026-06,S001,North Yard,Metro North,Bulldozer,3
2026-07,S001,North Yard,Metro North,Bulldozer,0
2021-08,S001,North Yard,Metro North,Crane,1
2021-09,S001,North Yard,Metro North,Crane,1
2021-10,S001,North Yard,Metro North,Crane,0
2021-11,S001,North Yard,Metro North,Crane,1
2021-12,S001,North Yard,Metro North,Crane,1
2022-01,S001,North Yard,Metro North,Crane,1
2022-02,S001,North Yard,Metro North,Crane,2
